타임스탬프,연령대,서비스를 사용해본 경험이 있나요?,가장 불편했던 점은 무엇인가요?,기능 만족도를 1~5점으로 평가해주세요.,다시 사용할 의향이 있나요?,그 이유를 자유롭게 작성해주세요.
2026-05-01 10:00:00,20대,예,예약 과정이 너무 복잡해요,3,아니오,단계가 많아서 다시 쓰기 귀찮을 것 같아요
2026-05-01 10:05:00,30대,예,가격 비교가 어려웠어요,2,아니오,어디가 믿을 만한지 모르겠어요
2026-05-01 10:10:00,20대,아니오,없음,4,보통,아직 잘 모르겠어요
2026-05-01 10:15:00,40대,예,알림 기능은 유용했어요,4,예,예약 확인이 편했습니다
2026-05-01 10:20:00,30대,예,선택지가 너무 많아요,2,아니오,고를 게 너무 많아 피곤했어요
2026-05-01 10:25:00,20대,예,카카오T보다 단계가 많아요,3,보통,비교해보니 복잡함
2026-05-01 10:30:00,50대,예,어디서 수정해야 하는지 찾기 어려웠어요,2,아니오,정보 구조가 헷갈립니다
2026-05-01 10:35:00,30대,예,가격이 맞는지 모르겠어요,3,보통,가격 근거가 불투명해요
2026-05-01 10:40:00,20대,예,자동 추천이 있으면 좋겠어요,4,예,추천 기능 기대합니다
2026-05-01 10:45:00,30대,예,후기를 한눈에 보고 싶어요,3,예,후기 요약이 있으면 좋겠어요
